Model,Sample,Dependent,Variable,Coefficient,Std_Error,t_stat,p_value,CI_lower_95,CI_upper_95,N,R2,Adj_R2
Model 1 -- Baseline PEAD,Full sample,CAR_2_60,const,-0.020730188000000007,0.003076555528128521,-6.738115990583226,1.6045346340087613e-11,-0.026760126031569513,-0.014700249968430501,1000,1.5699045166073233e-05,-0.0009862892323437844
Model 1 -- Baseline PEAD,Full sample,CAR_2_60,Z_Surprise,-0.0003874020221711394,0.0012053915049218874,-0.32139103402445507,0.7479140768348738,-0.002749925959088574,0.0019751219147462955,1000,1.5699045166073233e-05,-0.0009862892323437844
Model 2 -- Add Signed Gap,Full sample,CAR_2_60,const,-0.020730188000000007,0.0030719361268399343,-6.748248382795939,1.496406242117753e-11,-0.026751072171413745,-0.014709303828586269,1000,0.00017486063420502074,-0.0018308066463683659
Model 2 -- Add Signed Gap,Full sample,CAR_2_60,Z_Surprise,-0.0025494649574267165,0.006944084329730727,-0.36714199257507835,0.7135131055493318,-0.016159620149307902,0.011060690234454468,1000,0.00017486063420502074,-0.0018308066463683659
Model 2 -- Add Signed Gap,Full sample,CAR_2_60,Z_Gap,0.002489191660994413,0.007793734791148358,0.31938367518246613,0.7494355884392276,-0.012786247834713167,0.017764631156701995,1000,0.00017486063420502074,-0.0018308066463683659
Model 3 -- Full Signed Model,Full sample,CAR_2_60,const,-0.013336205673458319,0.014023725196354074,-0.9509745439767674,0.34161729840268873,-0.0408222019873992,0.014149790640482563,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Z_Surprise,0.012574423627196532,0.011543089080214331,1.0893464946701297,0.2760011166957207,-0.010049615240361135,0.035198462494754196,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Z_Gap,-0.00027186335544205796,0.00814126915142909,-0.03339324009381707,0.9733610002817114,-0.01622845768069004,0.015684730969805924,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Z_Interaction,0.0006341953005194157,0.00034026440393444325,1.8638308714819385,0.06234545896035994,-3.271067641308215e-05,0.0013011012774519137,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Std_Log_Market_Cap,0.0020759607623655895,0.003423999129990092,0.6062971056805135,0.5443174802233121,-0.00463495421551147,0.008786875740242648,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Sector_Consumer Discretionary,0.013934993961904434,0.017323092720409796,0.8044172127235942,0.4211560636355848,-0.020017643870946757,0.04788763179475562,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Sector_Consumer Staples,-0.03641951377230168,0.018413674384338444,-1.97785151470246,0.0479454600290274,-0.07250965238865278,-0.00032937515595057865,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Sector_Energy,-0.021990966613903526,0.019459931569990756,-1.1300639231340304,0.25844929009131967,-0.0601317316326994,0.01614979840489235,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Sector_Financials,0.018088665005630403,0.014834134386338236,1.2193947105056218,0.22269441658876954,-0.010985704133419715,0.047163034144680524,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Sector_Health Care,-0.03909880891159948,0.01563246756543116,-2.5011284205738953,0.012379827816100197,-0.0697378823293351,-0.008459735493863866,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Sector_Industrials,-9.696681971708846e-05,0.016566545701812634,-0.005853170688834595,0.9953298721417745,-0.03256679974350669,0.03237286610407251,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Sector_Information Technology,-0.0022880654483440656,0.015169208040969705,-0.15083618354790518,0.8801049424548347,-0.032019166882640074,0.027443035985951946,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Sector_Materials,-0.015289118016398795,0.020522197214249485,-0.7450039514181684,0.45626933113636015,-0.05551188543995601,0.02493364940715842,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Sector_Real Estate,-0.014718892128102372,0.019037531621306576,-0.773151289825261,0.43943284980951336,-0.052031768460405685,0.02259398420420094,1000,0.04231375953826422,0.02870197540987396
Model 3 -- Full Signed Model,Full sample,CAR_2_60,Sector_Utilities,-0.0005950041890751844,0.01566109524045634,-0.037992501797584816,0.969693660412362,-0.031290186818821265,0.030100178440670897,1000,0.04231375953826422,0.02870197540987396
Model 4 -- Absolute Gap,Full sample,CAR_2_60,const,-0.02427278282062819,0.003782002575443114,-6.417970991937861,1.3810256187521178e-10,-0.03168537165793442,-0.016860193983321958,1000,0.0037139406897161997,0.00171537286762935
Model 4 -- Absolute Gap,Full sample,CAR_2_60,Z_Surprise,0.0096498258634937,0.007037016856073865,1.3712949763882745,0.17028302108773286,-0.004142473733012356,0.023442125459999755,1000,0.0037139406897161997,0.00171537286762935
Model 4 -- Absolute Gap,Full sample,CAR_2_60,Abs_Z_Gap,0.012192746812095936,0.008597757522706022,1.418131039389727,0.15615251063512353,-0.004658548280216182,0.029044041904408055,1000,0.0037139406897161997,0.00171537286762935
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,const,-0.016234072122908817,0.014205503299214118,-1.1428016157517575,0.2531209678154579,-0.0440763469716334,0.01160820272581577,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Z_Surprise,0.018301990065267927,0.00894622421779927,2.04577815396741,0.04077820233386486,0.0007677128007613394,0.03583626732977452,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Abs_Z_Gap,0.010893755186508538,0.00913619993337098,1.1923726785704296,0.23311514826423996,-0.007012867638455827,0.0288003780114729,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Z_Int_AbsGap,-0.0004839956345009097,0.00032638283189982567,-1.4829077610597452,0.1380989191463639,-0.0011236942301967585,0.00015570296119493926,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Std_Log_Market_Cap,0.002669201723122759,0.003413924994286808,0.7818571666306844,0.43429852021673143,-0.0040219683116004944,0.009360371757846013,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Sector_Consumer Discretionary,0.0142812061859641,0.017215445230930968,0.8295577601620825,0.40678886706671746,-0.019460446444482433,0.048022858816410635,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Sector_Consumer Staples,-0.03614986143890432,0.018411568510930947,-1.9634319269128075,0.04959600707687047,-0.07223587261922074,-6.385025858791221e-05,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Sector_Energy,-0.021811165306265732,0.01945722633116334,-1.1209801918854305,0.26229629404816424,-0.059946628154390294,0.016324297541858827,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Sector_Financials,0.016493443211280205,0.014915167248168193,1.1058168464926768,0.26880580180647395,-0.012739747418520839,0.04572663384108125,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Sector_Health Care,-0.03923826880589211,0.015647322362649235,-2.507666672705317,0.012153125074142585,-0.0699064570911728,-0.008570080520611423,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Sector_Industrials,0.0006423618605100726,0.016511392073407984,0.03890416129991927,0.9689667988448433,-0.0317193719379897,0.03300409565900985,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Sector_Information Technology,-0.0019461432127499281,0.015287394462363171,-0.12730378728312655,0.8986999628792074,-0.03190888577643881,0.028016599350938948,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Sector_Materials,-0.016851094003866186,0.020412505392380466,-0.8255279633707445,0.40907191369340856,-0.05685886940716155,0.023156681399429172,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Sector_Real Estate,-0.014201897357552392,0.01898946382089301,-0.7478830098365844,0.454530726493406,-0.051420562532229055,0.023016767817124275,1000,0.04494581315952406,0.03137143893031924
Model 5 -- Absolute Gap Interaction,Full sample,CAR_2_60,Sector_Utilities,-0.0013113956289726191,0.01563388661835582,-0.0838816131257408,0.9331505586324054,-0.031953250339332724,0.029330459081387487,1000,0.04494581315952406,0.03137143893031924
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,const,-0.016536389097662415,0.014953425518935389,-1.1058595956306154,0.26878729536994994,-0.045844564560277946,0.012771786364953117,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,Z_Surprise,0.15644487219386394,0.06390889179269339,2.4479359257446873,0.014367720368670078,0.031185745988317443,0.2817039983994104,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,High_Abs_Gap,0.008227550692992452,0.006272161107884092,1.3117569130439648,0.1896021670377247,-0.004065659183693214,0.020520760569678116,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,Z_Int_HighGap,-0.15702414699934097,0.06405954108066676,-2.4512218531445433,0.014237217300970518,-0.28257854038361185,-0.03146975361507007,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,Std_Log_Market_Cap,0.001702620340799463,0.003371314688253928,0.505031567278961,0.6135366644421449,-0.004905035028729117,0.008310275710328042,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,Sector_Consumer Discretionary,0.012558644344679818,0.017616101050170634,0.7129071472122472,0.4759032161885868,-0.021968279261672843,0.047085567951032484,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,Sector_Consumer Staples,-0.03733167354727858,0.018819652329769617,-1.9836537303202975,0.04729445497936707,-0.07421751431519236,-0.000445832779364809,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,Sector_Energy,-0.02303928675258522,0.019751492720153314,-1.1664580028970277,0.24342931902435705,-0.06175150112499078,0.01567292761982034,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,Sector_Financials,0.01612256222474882,0.015234302057591458,1.0583065875810655,0.28991569061451994,-0.013736121137734876,0.04598124558723252,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,Sector_Health Care,-0.04158044769917127,0.015903238068195075,-2.614590030085012,0.008933461313150547,-0.07275022155039995,-0.01041067384794258,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,Sector_Industrials,-0.0018958342533049112,0.016779218500881758,-0.11298704127401905,0.910040828986679,-0.034782498203761315,0.030990829697151494,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,Sector_Information Technology,-0.004045193570738806,0.01577684753811772,-0.25640062509100114,0.7976415052337951,-0.03496724653502896,0.026876859393551344,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,Sector_Materials,-0.01491957051877648,0.020882112497486352,-0.7144665330469988,0.47493874354193744,-0.05584775893496349,0.026008617897410533,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,Sector_Real Estate,-0.01963959392121954,0.019087911276304697,-1.028902200818572,0.30352563409309097,-0.057051212562872725,0.017772024720433644,1000,0.04736524232529926,0.033825255921800856
Model 6 -- High Disagreement Interaction,Full sample,CAR_2_60,Sector_Utilities,-0.003825548575374449,0.016063228440397946,-0.23815564782440932,0.8117603753822802,-0.035308897793993925,0.02765780064324503,1000,0.04736524232529926,0.033825255921800856
Immediate Reaction Model 1 -- Baseline,Full sample,CAR_0_1,const,0.001597403999999997,0.0017740156886054774,0.9004452498701904,0.3678833493247,-0.0018796028576757624,0.0050744108576757565,1000,0.0035228876742202653,0.002524413613773535
Immediate Reaction Model 1 -- Baseline,Full sample,CAR_0_1,Z_Surprise,0.003869358564476599,0.0009080473981091913,4.261185674375243,2.0334520131074416e-05,0.0020896183679272795,0.0056490987610259185,1000,0.0035228876742202653,0.002524413613773535
Immediate Reaction Model 2 -- Signed Interaction,Full sample,CAR_0_1,const,0.014173730608152796,0.0041640719862914444,3.4038149808202602,0.0006645174811391095,0.0060122994859894,0.022335161730316192,1000,0.01920087120962022,0.005260579023766976
Immediate Reaction Model 2 -- Signed Interaction,Full sample,CAR_0_1,Z_Surprise,0.017995209358171595,0.011309450446879294,1.5911656753522585,0.11157229541295649,-0.004170906202652241,0.040161324918995434,1000,0.01920087120962022,0.005260579023766976
Immediate Reaction Model 2 -- Signed Interaction,Full sample,CAR_0_1,Z_Gap,7.699807227012911e-05,0.0032256921038684907,0.02387024855155496,0.980956105734861,-0.006245242276527348,0.006399238421067606,1000,0.01920087120962022,0.005260579023766976
Immediate Reaction Model 2 -- Signed Interaction,Full sample,CAR_0_1,Z_Interaction,0.0006774380668816166,0.0004404242697625779,1.5381488110244403,0.12401223368264747,-0.00018577763977038926,0.0015406537735336225,1000,0.01920087120962022,0.005260579023766976
Immediate Reaction Model 2 -- Signed Interaction,Full sample,CAR_0_1,Std_Log_Market_Cap,0.000695649652473047,0.0018687493321547521,0.372254127668868,0.709703649068678,-0.002967031734683546,0.00435833103962964,1000,0.01920087120962022,0.005260579023766976
Immediate Reaction Model 2 -- Signed Interaction,Full sample,CAR_0_1,Sector_Consumer Discretionary,-0.022244338819041448,0.006931739105324187,-3.20905597874505,0.001331715615735436,-0.03583029781570475,-0.008658379822378146,1000,0.01920087120962022,0.005260579023766976
Immediate Reaction Model 2 -- Signed Interaction,Full sample,CAR_0_1,Sector_Consumer Staples,-0.014013733147020951,0.006914601002775029,-2.0266871713055945,0.0426944152685505,-0.027566102079924548,-0.0004613642141173529,1000,0.01920087120962022,0.005260579023766976
