,Coefficient,Std_Error,t_stat,p_value,CI_lower_95,CI_upper_95
const,-0.012141189846541457,0.013933117019012644,-0.8713907900130325,0.3835408128418296,-0.03944959739618832,0.015167217703105406
Z_Surprise,-0.0005574073538850639,0.007166200407627325,-0.07778283081391207,0.9380008040918862,-0.014602902058830877,0.013488087351060747
Z_Gap,0.00027173531397457805,0.008134420986381874,0.033405612326863815,0.9733511341724451,-0.015671436854420677,0.016214907482369832
Std_Log_Market_Cap,0.0019370606030734792,0.0034144438544190824,0.5673136492100971,0.5705011052961685,-0.004755126378822046,0.008629247584969003
Sector_Consumer Discretionary,0.013504592904628233,0.017278912860766226,0.7815649638057945,0.4344702840924687,-0.020361453994479525,0.04737063980373599
Sector_Consumer Staples,-0.03717561098200936,0.018321409714482473,-2.0290802706422344,0.042450115068896295,-0.07308491416839728,-0.001266307795621438
Sector_Energy,-0.022199595696940848,0.019339289875117162,-1.1479012849124253,0.2510093177148972,-0.0601039073387506,0.015704715944868906
Sector_Financials,0.01824605390020828,0.014759762922089442,1.2362023696804276,0.21638335009353338,-0.010682549847436693,0.04717465764785325
Sector_Health Care,-0.039521293002789344,0.015531616365754829,-2.544570511664748,0.010941221917106852,-0.0699627017013617,-0.009079884304216995
Sector_Industrials,-0.0011551139418957165,0.016488375612363968,-0.07005626078954334,0.9441488799567458,-0.03347173630569765,0.03116150842190622
Sector_Information Technology,-0.0031851451291120434,0.015104699114846713,-0.2108711404903988,0.8329878243073963,-0.03278981139152563,0.026419521133301548
Sector_Materials,-0.01595383980749025,0.02044084635455112,-0.7804882210240847,0.43510355808723455,-0.05601716247592731,0.024109482860946805
Sector_Real Estate,-0.0162304337630978,0.018956246705106743,-0.8562050291699032,0.3918843812870817,-0.053383994587163086,0.020923127060967484
Sector_Utilities,-0.002987672382825197,0.015693317697547088,-0.1903786337857787,0.8490124392533549,-0.033746009867962536,0.027770665102312138
