,Coefficient,Std_Error,t_stat,p_value,CI_lower_95,CI_upper_95
const,-0.013336205673458319,0.014023725196354074,-0.9509745439767674,0.34161729840268873,-0.0408222019873992,0.014149790640482563
Z_Surprise,0.012574423627196532,0.011543089080214331,1.0893464946701297,0.2760011166957207,-0.010049615240361135,0.035198462494754196
Z_Gap,-0.00027186335544205796,0.00814126915142909,-0.03339324009381707,0.9733610002817114,-0.01622845768069004,0.015684730969805924
Z_Interaction,0.0006341953005194157,0.00034026440393444325,1.8638308714819385,0.06234545896035994,-3.271067641308215e-05,0.0013011012774519137
Std_Log_Market_Cap,0.0020759607623655895,0.003423999129990092,0.6062971056805135,0.5443174802233121,-0.00463495421551147,0.008786875740242648
Sector_Consumer Discretionary,0.013934993961904434,0.017323092720409796,0.8044172127235942,0.4211560636355848,-0.020017643870946757,0.04788763179475562
Sector_Consumer Staples,-0.03641951377230168,0.018413674384338444,-1.97785151470246,0.0479454600290274,-0.07250965238865278,-0.00032937515595057865
Sector_Energy,-0.021990966613903526,0.019459931569990756,-1.1300639231340304,0.25844929009131967,-0.0601317316326994,0.01614979840489235
Sector_Financials,0.018088665005630403,0.014834134386338236,1.2193947105056218,0.22269441658876954,-0.010985704133419715,0.047163034144680524
Sector_Health Care,-0.03909880891159948,0.01563246756543116,-2.5011284205738953,0.012379827816100197,-0.0697378823293351,-0.008459735493863866
Sector_Industrials,-9.696681971708846e-05,0.016566545701812634,-0.005853170688834595,0.9953298721417745,-0.03256679974350669,0.03237286610407251
Sector_Information Technology,-0.0022880654483440656,0.015169208040969705,-0.15083618354790518,0.8801049424548347,-0.032019166882640074,0.027443035985951946
Sector_Materials,-0.015289118016398795,0.020522197214249485,-0.7450039514181684,0.45626933113636015,-0.05551188543995601,0.02493364940715842
Sector_Real Estate,-0.014718892128102372,0.019037531621306576,-0.773151289825261,0.43943284980951336,-0.052031768460405685,0.02259398420420094
Sector_Utilities,-0.0005950041890751844,0.01566109524045634,-0.037992501797584816,0.969693660412362,-0.031290186818821265,0.030100178440670897
