Ticker,Event_ID,Ticker_BB,Company_Name,Fiscal_Year,Fiscal_Quarter,Fiscal_Quarter_BB,Mgmt_Guidance_Date,Earnings_Announcement_Date,Announcement_Time,Mgmt_Guidance_EPS,Mgmt_Guidance_Type,Guidance_Range_Low,Guidance_Range_High,Analyst_Consensus_EPS,Num_Analysts,Disagreement_Gap,Disagreement_Pct,Actual_EPS,Surprise_EPS,Surprise_Pct,EPS_Beat_Miss,CAR_0_1,CAR_2_60,BHAR_2_60,Market_Cap,Sector,Std_Actual_EPS,Std_Guidance_EPS,Std_Consensus_EPS,Std_Disagreement_Gap,Std_Disagreement_Pct,Std_Surprise_EPS,Std_Surprise_Pct
LEN US,LEN US|45644,LEN US Equity,Lennar Corp,2024,Q4 24 ,2024Q4,,2024-12-18,22:30,4.101646,,,,4.166,,-0.06435400000000069,-0.015447431589054412,4.06,-0.10600000000000076,-0.025444071051368398,Miss,-0.057838000000000014,-0.056535,-0.05939242661867383,40957.1826,Consumer Discretionary,0.02789379198238981,0.028179916332364836,0.02862205354646206,-0.00044213721409722476,-0.015447431589054407,-0.0007282615640722516,-0.0254440710513684
KR US,KR US|45631,KR US Equity,Kroger Co/The,2025,Q3 25 ,2025Q3,,2024-12-05,14:00,0.85,,,,0.976,,-0.126,-0.1290983606557377,0.98,0.0040000000000000036,0.004098360655737709,Beat,-0.011825000000000004,0.12070299999999996,0.11969149990894457,43344.0629,Consumer Staples,0.016357870138541147,0.014187948589550994,0.016291103321649143,-0.002103154732098149,-0.1290983606557378,6.676681689200478e-05,0.004098360655737711
A US,A US|45621,A US Equity,Agilent Technologies Inc,2024,Q4 24 ,2024Q4,,2024-11-25,22:05,1.23,,,,1.412,,-0.18199999999999994,-0.1288951841359773,1.46,0.04800000000000004,0.03399433427762043,Beat,-0.004852999999999999,-0.010378999999999994,-0.01408697282017135,38455.9355,Health Care,0.01090854751942618,0.009190077704722056,0.010549910340705319,-0.0013598326359832626,-0.12889518413597725,0.0003586371787208612,0.03399433427762045
ROST US,ROST US|45617,ROST US Equity,Ross Stores Inc,2025,Q3 25 ,2025Q3,,2024-11-21,22:01,1.49,,,,1.401,,0.08899999999999997,0.06352605281941467,1.48,0.07899999999999996,0.05638829407566021,Beat,0.039019,-0.06081900000000001,-0.06340631905225125,46221.1521,Consumer Discretionary,0.010623026126902095,0.010694803330462245,0.010055986218776918,0.0006388171116853275,0.06352605281941458,0.0005670399081251776,0.056388294075660046
LYV US,LYV US|45607,LYV US Equity,Live Nation Entertainment Inc,2024,Q3 24 ,2024Q3,,2024-11-11,22:07,1.72,,,,1.594,,0.1259999999999999,0.0790464240903387,1.66,0.06599999999999984,0.04140526976160592,Beat,0.055784,0.11509,0.1200817578450708,28549.9901,Communication Services,0.013495934959349592,0.013983739837398373,0.012959349593495935,0.0010243902439024382,0.07904642409033871,0.0005365853658536573,0.041405269761605926
MNST US,MNST US|45603,MNST US Equity,Monster Beverage Corp,2024,Q3 24 ,2024Q3,,2024-11-07,22:10,0.38,,,,0.426,,-0.045999999999999985,-0.10798122065727696,0.4,-0.025999999999999968,-0.06103286384976518,Miss,-0.016879,-0.10311000000000002,-0.1037197716433842,53326.3736,Consumer Staples,0.007347538574577517,0.006980161645848641,0.007825128581925056,-0.0008449669360764142,-0.10798122065727697,-0.00047759000734753834,-0.06103286384976522
MSI US,MSI US|45603,MSI US Equity,Motorola Solutions Inc,2024,Q3 24 ,2024Q3,,2024-11-07,22:10,3.36,,,,3.377,,-0.016999999999999904,-0.005034053893988719,3.74,0.36300000000000043,0.10749185667752456,Beat,0.064053,-0.07759300000000001,-0.07665503184850886,78270.1179,Information Technology,0.007972203866732036,0.00716219384818707,0.007198431138490397,-3.623729030332711e-05,-0.005034053893988703,0.0007737727282416387,0.10749185667752442
WBD US,WBD US|45603,WBD US Equity,Warner Bros Discovery Inc,2024,Q3 24 ,2024Q3,,2024-11-07,13:04,0.06,,,,-0.122,,0.182,1.4918032786885247,0.05,0.172,1.4098360655737705,Beat,0.08643500000000001,0.156494,0.14143419201659713,20546.9919,Communication Services,0.0059665871121718375,0.007159904534606205,-0.014558472553699282,0.021718377088305485,1.4918032786885245,0.02052505966587112,1.4098360655737705
LYB US,LYB US|45597,LYB US Equity,LyondellBasell Industries NV,2024,Q3 24 ,2024Q3,,2024-11-01,11:30,1.76,,,,2.018,,-0.2579999999999998,-0.12784935579781953,1.88,-0.1379999999999999,-0.06838453914767093,Miss,-0.032091,-0.13492700000000002,-0.13733919189543042,28233.9982,Materials,0.02164651698330455,0.02026482440990213,0.02323546344271733,-0.002970639032815199,-0.12784935579781964,-0.0015889464594127795,-0.06838453914767091
GWW US,GWW US|45596,GWW US Equity,WW Grainger Inc,2024,Q3 24 ,2024Q3,,2024-10-31,13:00,9.959016,,,,9.975,,-0.015983999999999554,-0.0016024060150375493,9.87,-0.10500000000000043,-0.010526315789473727,Miss,0.019649,-0.049422999999999974,-0.054702798267554975,53676.0483,Industrials,0.008978114141212,0.009059086360907454,0.009073625993778086,-1.4539632870631813e-05,-0.0016024060150376317,-9.551185256608669e-05,-0.010526315789473857
WEC US,WEC US|45596,WEC US Equity,WEC Energy Group Inc,2024,Q3 24 ,2024Q3,,2024-10-31,12:00,0.76,,,,0.703,,0.05700000000000005,0.08108108108108115,0.82,0.11699999999999999,0.16642958748221906,Beat,0.009615,-0.04095400000000002,-0.04416898988148765,30353.1049,Utilities,0.00853899822971988,0.00791419348120379,0.007320628970113506,0.0005935645110902842,0.08108108108108107,0.0012183692596063733,0.1664295874822191
ETR US,ETR US|45596,ETR US Equity,Entergy Corp,2024,Q3 24 ,2024Q3,,2024-10-31,11:30,1.505,,,,1.483,,0.021999999999999797,0.014834794335805661,1.5,0.016999999999999904,0.011463250168577143,Beat,0.10149700000000003,0.064376,0.06927030089683117,28738.8657,Utilities,0.022321428571428572,0.02239583333333333,0.022068452380952383,0.00032738095238094705,0.014834794335805557,0.0002529761904761889,0.011463250168577134
IDXX US,IDXX US|45596,IDXX US Equity,IDEXX Laboratories Inc,2024,Q3 24 ,2024Q3,,2024-10-31,11:30,2.83,,,,2.675,,0.15500000000000025,0.05794392523364496,2.8,0.125,0.04672897196261683,Beat,-0.058034999999999996,-0.029151999999999997,-0.035128816487603576,37126.5445,Health Care,0.0062073246430788325,0.006273831692826107,0.0059302119357985275,0.0003436197570275794,0.057943925233645055,0.000277112707280305,0.04672897196261682
CF US,CF US|45595,CF US Equity,CF Industries Holdings Inc,2024,Q3 24 ,2024Q3,,2024-10-30,21:30,1.55,,,,1.149,,0.401,0.34899912967798086,1.55,0.401,0.34899912967798086,Beat,0.032498,0.07504699999999996,0.07375538784750146,14678.3436,Materials,0.019051130776794493,0.019051130776794493,0.014122418879056048,0.004928711897738445,0.34899912967798075,0.004928711897738445,0.34899912967798075
EQIX US,EQIX US|45595,EQIX US Equity,Equinix Inc,2024,Q3 24 ,2024Q3,,2024-10-30,21:05,3.11,,,,6.344,,-3.2340000000000004,-0.5097730138713745,6.36,0.016000000000000014,0.00252206809583859,Beat,0.024239999999999998,-0.04017,-0.046242740999903775,86011.6195,Real Estate,0.007020564956783787,0.003433012109370688,0.007002903158150369,-0.003569891048779681,-0.5097730138713746,1.7661798633417623e-05,0.002522068095838486
CTSH US,CTSH US|45595,CTSH US Equity,Cognizant Technology Solutions,2024,Q3 24 ,2024Q3,,2024-10-30,21:01,1.17,,,,1.144,,0.026000000000000023,0.02272727272727275,1.25,0.1060000000000001,0.09265734265734275,Beat,0.009567999999999998,-0.0019739999999999936,-0.005984145369644089,37432.0903,Information Technology,0.016551906779661018,0.015492584745762712,0.015148305084745762,0.00034427966101695066,0.02272727272727283,0.0014036016949152564,0.09265734265734281
OKE US,OKE US|45594,OKE US Equity,ONEOK Inc,2024,Q3 24 ,2024Q3,,2024-10-29,21:15,1.18,,,,1.238,,-0.05800000000000005,-0.046849757673667246,1.18,-0.05800000000000005,-0.046849757673667246,Miss,0.0031699999999999996,0.10744,0.11079136437334114,56082.7782,Energy,0.012289106436159134,0.012289106436159134,0.012893147260987295,-0.0006040408248281608,-0.0468497576736672,-0.0006040408248281608,-0.0468497576736672
PYPL US,PYPL US|45594,PYPL US Equity,PayPal Holdings Inc,2024,Q3 24 ,2024Q3,,2024-10-29,12:00,1.0,,,,1.076,,-0.07600000000000007,-0.07063197026022311,1.2,0.12399999999999989,0.11524163568773223,Beat,-0.063577,0.10404599999999997,0.10397484317203953,85456.8483,Financials,0.014355784184711088,0.01196315348725924,0.012872353152290943,-0.0009091996650317027,-0.07063197026022308,0.001483431032420145,0.11524163568773227
DLR US,DLR US|45589,DLR US Equity,Digital Realty Trust Inc,2024,Q3 24 ,2024Q3,,2024-10-24,22:05,0.13,,,,1.658,,-1.528,-0.9215922798552474,1.67,0.01200000000000001,0.007237635705669488,Beat,0.09027099999999999,-0.018824000000000018,-0.023799511335224066,55377.0418,Real Estate,0.010072376357056694,0.0007840772014475272,0.009999999999999998,-0.009215922798552472,-0.9215922798552474,7.23763570566957e-05,0.0072376357056695715
