,Coefficient,Std_Error,t_stat,p_value,CI_lower_95,CI_upper_95
const,-0.024554225775173348,0.020037933589382603,-1.2253871221623256,0.22042939666428785,-0.06382785393496866,0.014719402384621966
Z_Surprise,0.01417308283476608,0.01901001959386001,0.745558560041874,0.45593412380195153,-0.023085870914600286,0.051432036584132444
Z_Gap,-0.004074159984235293,0.014910022469485933,-0.27324975482587327,0.7846612358454161,-0.03329726703311068,0.02514894706464009
Z_Interaction,0.0007218909501754544,0.0005844339123771347,1.235196888625482,0.2167572369580718,-0.0004235784694275673,0.001867360369778476
Std_Log_Market_Cap,-0.011388468578668149,0.004454176382598684,-2.5568068258724446,0.01056378628684775,-0.020118493869350468,-0.002658443287985828
Sector_Consumer Discretionary,0.017948131290472392,0.02273075505598599,0.7895967928151104,0.4297632818722418,-0.02660332996066189,0.06249959254160667
Sector_Consumer Staples,-0.045914870579874464,0.023479882713587596,-1.9554982935798033,0.050524284578895594,-0.09193459505973074,0.00010485389998181327
Sector_Energy,-0.012654787688769605,0.026581953371226232,-0.47606688312333895,0.6340267293913023,-0.0647544589350961,0.03944488355755688
Sector_Financials,0.024263433530825173,0.02222353458807389,1.091790031629171,0.274925401553227,-0.01929389387097984,0.06782076093263019
Sector_Health Care,-0.028949812743773534,0.02420246825658077,-1.1961512535359669,0.23163753958396094,-0.07638577886364575,0.018486153376098685
Sector_Industrials,0.011541867497026388,0.023289135629197193,0.495590204840258,0.6201835650195342,-0.03410399956726868,0.05718773456132146
Sector_Information Technology,0.009706492474915495,0.023787161920835343,0.40805592980024696,0.683232613745699,-0.03691548818434439,0.056328473134175376
Sector_Materials,-0.010986435145051586,0.026271150122395705,-0.41819391590647714,0.6758053437265412,-0.0624769432173922,0.04050407292728903
Sector_Real Estate,0.004431577563066211,0.024275060330017556,0.18255680945049194,0.8551457757977675,-0.0431466664063052,0.05200982153243762
Sector_Utilities,-0.00027596542784402017,0.02092936925276723,-0.013185558748146827,0.9894797510900993,-0.04129677538240777,0.04074484452671973
