Model,Variable,Coefficient,Std_Error,p_value,Significance,N_Obs
During-Market,const,0.016383019973849493,0.007177330726002738,0.022453572476758377,**,570
During-Market,Z_Guidance_Surprise,0.010699604855836627,0.005401787133633112,0.04761900514888395,**,570
During-Market,Std_Disagreement_Gap_Win,1.9663759963994645,0.7889836859396899,0.012692243016877132,**,570
During-Market,Std_Log_Market_Cap,6.639472490561302e-05,0.0026855348056701754,0.9802758357077714,,570
During-Market,Sector_Consumer Discretionary,-0.013375206242644651,0.009148976470323436,0.14375910283048296,,570
During-Market,Sector_Consumer Staples,-0.009365072976701028,0.009196763519986877,0.30853495980209167,,570
During-Market,Sector_Energy,-0.01664063904872537,0.00829814926002388,0.044926345549486484,**,570
During-Market,Sector_Financials,-0.006778647291872497,0.007713790233162107,0.3795260061400484,,570
During-Market,Sector_Health Care,-0.014433504414832116,0.00889811439226938,0.10478499232465904,,570
During-Market,Sector_Industrials,-0.008538183840768978,0.008542962544243216,0.31758128740554936,,570
During-Market,Sector_Information Technology,-0.007252268617360391,0.012698803468723516,0.5679328217129078,,570
During-Market,Sector_Materials,-0.012588774365343966,0.007260567290146055,0.08294372926962662,*,570
During-Market,Sector_Real Estate,0.005704518519809605,0.017657024109037276,0.7466394956875686,,570
During-Market,Sector_Utilities,0.0011383206099108702,0.008363244229081586,0.8917343753768704,,570
Post-Market,const,0.025259452111731744,0.007153049803681798,0.00041354707634865917,***,428
Post-Market,Z_Guidance_Surprise,0.015901607644644163,0.005441348753719504,0.003473840777619358,***,428
Post-Market,Std_Disagreement_Gap_Win,2.2516860031336727,0.6892117967769692,0.0010867637724043255,***,428
Post-Market,Std_Log_Market_Cap,0.0005215955298572101,0.0027654286490740717,0.8503962179769158,,428
Post-Market,Sector_Consumer Discretionary,-0.036059652886067814,0.010951037561844465,0.0009919254776523747,***,428
Post-Market,Sector_Consumer Staples,-0.033039729543061946,0.009271979058300269,0.00036608830681536026,***,428
Post-Market,Sector_Energy,-0.01726106386941459,0.008876871911591429,0.051835369488758345,*,428
Post-Market,Sector_Financials,-0.034780426098675814,0.009840677918560706,0.00040877528299955635,***,428
Post-Market,Sector_Health Care,-0.029480766497411798,0.017876773623690723,0.099125097356947,*,428
Post-Market,Sector_Industrials,-0.02688050415861866,0.013896966835389714,0.053079779532527946,*,428
Post-Market,Sector_Information Technology,-0.01900560768315315,0.00942369415001086,0.04371748217041035,**,428
Post-Market,Sector_Materials,-0.03796379980897191,0.015417826738818183,0.013803703260679789,**,428
Post-Market,Sector_Real Estate,0.0010523562378243353,0.009025713062395782,0.9071807171073459,,428
Post-Market,Sector_Utilities,-0.008405462292626724,0.01066297536355356,0.4305300877035111,,428
