Model,Dep_Var,Variable,Coefficient,Std_Error,t_stat,p_value,Significance,R_Squared,Adj_R_Squared,Observations
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,const,0.024841478319381303,0.005305875152009653,4.681881425342688,2.842538960601198e-06,***,0.028512208700205766,0.014704260397467528,1000
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Std_Disagreement_Gap_Win,-0.1475455708421436,0.718984876545507,-0.20521373349471966,0.8374051400031844,,0.028512208700205766,0.014704260397467528,1000
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Negative_Gap_Dummy,-0.017287331704068914,0.005107126782847075,-3.384942735733638,0.0007119310511530223,***,0.028512208700205766,0.014704260397467528,1000
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Int_Gap_Neg,0.46273390819249804,0.7653194273770763,0.604628461841603,0.5454258909444885,,0.028512208700205766,0.014704260397467528,1000
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Std_Log_Market_Cap,-0.0008746218347744101,0.0020415140564346533,-0.4284182281369493,0.6683466559834146,,0.028512208700205766,0.014704260397467528,1000
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Sector_Consumer Discretionary,-0.023698549831843746,0.006902441275684358,-3.4333576897391427,0.0005961550639695313,***,0.028512208700205766,0.014704260397467528,1000
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Sector_Consumer Staples,-0.012560777402844954,0.00697567153996296,-1.8006549377913585,0.07175728428196587,*,0.028512208700205766,0.014704260397467528,1000
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Sector_Energy,-0.017346923056270523,0.005140834971700701,-3.3743396066518314,0.0007399302158516075,***,0.028512208700205766,0.014704260397467528,1000
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Sector_Financials,-0.012372382920761439,0.004947428997702531,-2.5007701831611695,0.012392356627459706,**,0.028512208700205766,0.014704260397467528,1000
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Sector_Health Care,-0.014183025837322725,0.008200563156173095,-1.7295185180844859,0.08371633514663405,*,0.028512208700205766,0.014704260397467528,1000
