Model,Dep_Var,Variable,Coefficient,Std_Error,t_stat,p_value,Significance,R_Squared,Adj_R_Squared,Observations
Model: BEATS Only,CAR_0_1,const,0.02865815641086184,0.009253236114793418,3.0970955517978425,0.001954268700738584,***,0.02019138743068094,0.0038402809308077934,793
Model: BEATS Only,CAR_0_1,Z_Guidance_Surprise,0.01165238261748592,0.006367383605199878,1.8300110908929823,0.06724828040685689,*,0.02019138743068094,0.0038402809308077934,793
Model: BEATS Only,CAR_0_1,Std_Disagreement_Gap_Win,2.16361624941478,0.8622501122392652,2.50926757642961,0.012098180269386234,**,0.02019138743068094,0.0038402809308077934,793
Model: BEATS Only,CAR_0_1,Std_Log_Market_Cap,1.1676571020473193e-05,0.0026112919260728143,0.004471568614710142,0.9964322163293511,,0.02019138743068094,0.0038402809308077934,793
Model: BEATS Only,CAR_0_1,Sector_Consumer Discretionary,-0.028687049402070657,0.011832403947034168,-2.4244481113460603,0.015331674136267648,**,0.02019138743068094,0.0038402809308077934,793
Model: BEATS Only,CAR_0_1,Sector_Consumer Staples,-0.017661122317976296,0.01195678149621609,-1.4770799586465164,0.13965420507248222,,0.02019138743068094,0.0038402809308077934,793
Model: BEATS Only,CAR_0_1,Sector_Energy,-0.019691803226171697,0.010205564755257865,-1.929516268663776,0.05366680239725151,*,0.02019138743068094,0.0038402809308077934,793
Model: BEATS Only,CAR_0_1,Sector_Financials,-0.0210624195555973,0.00957289432348697,-2.2002143598222883,0.027791689957850443,**,0.02019138743068094,0.0038402809308077934,793
Model: BEATS Only,CAR_0_1,Sector_Health Care,-0.02437531710815311,0.011902006002115864,-2.0480007407003336,0.040559926819834766,**,0.02019138743068094,0.0038402809308077934,793
Model: BEATS Only,CAR_0_1,Sector_Industrials,-0.015415041217320192,0.011468236052725874,-1.3441510225677824,0.1788995557523797,,0.02019138743068094,0.0038402809308077934,793
Model: BEATS Only,CAR_0_1,Sector_Information Technology,-0.020008045036431506,0.011084152073264367,-1.8051038008303855,0.07105844042357959,*,0.02019138743068094,0.0038402809308077934,793
Model: BEATS Only,CAR_0_1,Sector_Materials,-0.018595986905993987,0.011488403998588052,-1.6186745267906204,0.10551731048728574,,0.02019138743068094,0.0038402809308077934,793
Model: BEATS Only,CAR_0_1,Sector_Real Estate,0.004619054185418105,0.010771738187981538,0.4288123332380813,0.6680598027392739,,0.02019138743068094,0.0038402809308077934,793
Model: BEATS Only,CAR_0_1,Sector_Utilities,-0.01492343445714833,0.012076826258695455,-1.2357083009622072,0.2165670108737785,,0.02019138743068094,0.0038402809308077934,793
Model: MISSES Only,CAR_0_1,const,-0.02574131602016645,0.02363225099024688,-1.0892452027015955,0.2760457702116569,,0.07326164746258879,0.009178676276491271,202
Model: MISSES Only,CAR_0_1,Z_Guidance_Surprise,0.0035185501147127116,0.004627154380694133,0.7604133826597944,0.44700752635347973,,0.07326164746258879,0.009178676276491271,202
Model: MISSES Only,CAR_0_1,Std_Disagreement_Gap_Win,0.261838123076682,0.6275549148708609,0.41723539545628985,0.6765062377852719,,0.07326164746258879,0.009178676276491271,202
Model: MISSES Only,CAR_0_1,Std_Log_Market_Cap,-0.006032112170100552,0.004720289415857078,-1.2779115089504067,0.20128062959115767,,0.07326164746258879,0.009178676276491271,202
Model: MISSES Only,CAR_0_1,Sector_Consumer Discretionary,0.0022885847688805657,0.025293228467919,0.09048211349465816,0.9279041070088538,,0.07326164746258879,0.009178676276491271,202
Model: MISSES Only,CAR_0_1,Sector_Consumer Staples,-0.008115420520408726,0.027960610526935523,-0.2902447538686908,0.7716290004071117,,0.07326164746258879,0.009178676276491271,202
Model: MISSES Only,CAR_0_1,Sector_Energy,0.005677080324494779,0.024397206262638763,0.2326938692643883,0.8159991301749069,,0.07326164746258879,0.009178676276491271,202
Model: MISSES Only,CAR_0_1,Sector_Financials,-0.001282560771263268,0.02545830324656383,-0.05037887870380279,0.9598204673628524,,0.07326164746258879,0.009178676276491271,202
Model: MISSES Only,CAR_0_1,Sector_Health Care,-0.016865413992751273,0.02662678274052605,-0.6334003682345768,0.5264722246041007,,0.07326164746258879,0.009178676276491271,202
Model: MISSES Only,CAR_0_1,Sector_Industrials,-0.001612286623157111,0.024805505360806748,-0.06499712864969726,0.9481762864278991,,0.07326164746258879,0.009178676276491271,202
Model: MISSES Only,CAR_0_1,Sector_Information Technology,0.007797674714349597,0.03181220948007162,0.24511578547332138,0.8063667806531898,,0.07326164746258879,0.009178676276491271,202
Model: MISSES Only,CAR_0_1,Sector_Materials,-0.015768413704626665,0.02516677834144453,-0.6265567046640736,0.5309498559543098,,0.07326164746258879,0.009178676276491271,202
Model: MISSES Only,CAR_0_1,Sector_Real Estate,0.027215676622730525,0.023629755952197382,1.151754452216409,0.24942198944514704,,0.07326164746258879,0.009178676276491271,202
Model: MISSES Only,CAR_0_1,Sector_Utilities,0.03627866518449218,0.02279110651519751,1.5917904275644066,0.11143180172127398,,0.07326164746258879,0.009178676276491271,202
