Model,Dep_Var,Variable,Coefficient,Std_Error,t_stat,p_value,Significance,R_Squared,Adj_R_Squared,Observations
Model: Key Specification with BHAR_2_60,BHAR_2_60,const,-0.010539468383637927,0.014291227642321257,-0.7374781682454573,0.46083161484297075,,0.0394250077775713,0.026760225932853654,1000
Model: Key Specification with BHAR_2_60,BHAR_2_60,Z_Guidance_Surprise,0.0038428011783763236,0.005084007694117435,0.7558606142202976,0.44973277023543967,,0.0394250077775713,0.026760225932853654,1000
Model: Key Specification with BHAR_2_60,BHAR_2_60,Std_Disagreement_Gap_Win,0.7499766957442482,0.623216319966995,1.2033970737222772,0.22882269974773328,,0.0394250077775713,0.026760225932853654,1000
Model: Key Specification with BHAR_2_60,BHAR_2_60,Std_Log_Market_Cap,0.0021173645165240085,0.003595772709129281,0.5888482637259711,0.5559630661472115,,0.0394250077775713,0.026760225932853654,1000
Model: Key Specification with BHAR_2_60,BHAR_2_60,Sector_Consumer Discretionary,0.012656892271961009,0.01808757766980233,0.6997560703273171,0.4840796534506403,,0.0394250077775713,0.026760225932853654,1000
Model: Key Specification with BHAR_2_60,BHAR_2_60,Sector_Consumer Staples,-0.03739262010919586,0.018339485871055272,-2.038913215566836,0.04145868971032563,**,0.0394250077775713,0.026760225932853654,1000
Model: Key Specification with BHAR_2_60,BHAR_2_60,Sector_Energy,-0.024738142945955253,0.020028901228777686,-1.2351223196613148,0.21678498383842948,,0.0394250077775713,0.026760225932853654,1000
Model: Key Specification with BHAR_2_60,BHAR_2_60,Sector_Financials,0.015946087199885974,0.01503735470532182,1.0604316724830962,0.2889482594950862,,0.0394250077775713,0.026760225932853654,1000
Model: Key Specification with BHAR_2_60,BHAR_2_60,Sector_Health Care,-0.041873446343396604,0.015704211753379663,-2.666383197130867,0.007667224407375811,***,0.0394250077775713,0.026760225932853654,1000
Model: Key Specification with BHAR_2_60,BHAR_2_60,Sector_Industrials,-0.002141559749390948,0.016836031304086514,-0.12720098405086355,0.8987813265490432,,0.0394250077775713,0.026760225932853654,1000
Model: Key Specification with BHAR_2_60,BHAR_2_60,Sector_Information Technology,-0.009044583949825548,0.015392058949620287,-0.5876136506122641,0.5567916464088858,,0.0394250077775713,0.026760225932853654,1000
Model: Key Specification with BHAR_2_60,BHAR_2_60,Sector_Materials,-0.018241748886712435,0.02167810409260212,-0.8414826688159331,0.4000775902348438,,0.0394250077775713,0.026760225932853654,1000
Model: Key Specification with BHAR_2_60,BHAR_2_60,Sector_Real Estate,-0.014583557231550068,0.01890391189980937,-0.7714571094513581,0.44043603565292644,,0.0394250077775713,0.026760225932853654,1000
Model: Key Specification with BHAR_2_60,BHAR_2_60,Sector_Utilities,-0.003120258992200832,0.01576837126273971,-0.19788086798627896,0.843138273326338,,0.0394250077775713,0.026760225932853654,1000
