Model,Dep_Var,Variable,Coefficient,Std_Error,t_stat,p_value,Significance,R_Squared,Adj_R_Squared,Observations
Model 1: Guidance Surprise Only,CAR_0_1,const,0.01325255477805087,0.004498952405878985,2.945697927529342,0.0032222691547716836,***,0.010886803402643919,-0.0011388889572021554,1000
Model 1: Guidance Surprise Only,CAR_0_1,Z_Guidance_Surprise,-0.0011030989444984548,0.001752076041597495,-0.6295953590534115,0.5289593607665766,,0.010886803402643919,-0.0011388889572021554,1000
Model 1: Guidance Surprise Only,CAR_0_1,Std_Log_Market_Cap,0.0007228655465818518,0.0018977825820582406,0.38090008487582794,0.7032773895047209,,0.010886803402643919,-0.0011388889572021554,1000
Model 1: Guidance Surprise Only,CAR_0_1,Sector_Consumer Discretionary,-0.020371165191195195,0.007131369298810806,-2.8565573226718457,0.004282626654692725,***,0.010886803402643919,-0.0011388889572021554,1000
Model 1: Guidance Surprise Only,CAR_0_1,Sector_Consumer Staples,-0.012504475054493654,0.007037657278660832,-1.7767951122611472,0.07560195636713807,*,0.010886803402643919,-0.0011388889572021554,1000
Model 1: Guidance Surprise Only,CAR_0_1,Sector_Energy,-0.01221924718279314,0.005602576884670524,-2.1810048187338227,0.02918306006956521,**,0.010886803402643919,-0.0011388889572021554,1000
Model 1: Guidance Surprise Only,CAR_0_1,Sector_Financials,-0.010780435033396131,0.0053783469265706865,-2.004414215107149,0.045025707835652955,**,0.010886803402643919,-0.0011388889572021554,1000
Model 1: Guidance Surprise Only,CAR_0_1,Sector_Health Care,-0.017295772507575625,0.008409109321799748,-2.056790064880964,0.03970642417139638,**,0.010886803402643919,-0.0011388889572021554,1000
Model 1: Guidance Surprise Only,CAR_0_1,Sector_Industrials,-0.011130489260359429,0.006749681608073787,-1.649039155720388,0.09913961323670455,*,0.010886803402643919,-0.0011388889572021554,1000
Model 1: Guidance Surprise Only,CAR_0_1,Sector_Information Technology,-0.012025521143252695,0.007668248876218348,-1.5682225938894105,0.11682919328791627,,0.010886803402643919,-0.0011388889572021554,1000
Model 1: Guidance Surprise Only,CAR_0_1,Sector_Materials,-0.018018992394214554,0.0063638496150903116,-2.8314610627326777,0.004633587482442401,***,0.010886803402643919,-0.0011388889572021554,1000
Model 1: Guidance Surprise Only,CAR_0_1,Sector_Real Estate,0.006712334949138116,0.007708891007520825,0.8707264044321725,0.38390355772210705,,0.010886803402643919,-0.0011388889572021554,1000
Model 1: Guidance Surprise Only,CAR_0_1,Sector_Utilities,-0.00031411620436937876,0.006295277737115429,-0.049897116137930804,0.960204375431389,,0.010886803402643919,-0.0011388889572021554,1000
Model 2: Pure Predictive Gap,CAR_0_1,const,0.015895352440201977,0.004214431692443831,3.7716478994549103,0.0001621729885487738,***,0.017616555450529536,0.005672683784274657,1000
Model 2: Pure Predictive Gap,CAR_0_1,Std_Disagreement_Gap_Win,0.734124150709182,0.2319936650273351,3.164414643057958,0.0015539523559886346,***,0.017616555450529536,0.005672683784274657,1000
Model 2: Pure Predictive Gap,CAR_0_1,Std_Log_Market_Cap,0.00016799653050031589,0.0019118663601931586,0.08787043592489538,0.9299796544030496,,0.017616555450529536,0.005672683784274657,1000
Model 2: Pure Predictive Gap,CAR_0_1,Sector_Consumer Discretionary,-0.022806109199071244,0.00682504652754991,-3.341531681434309,0.0008331750744393565,***,0.017616555450529536,0.005672683784274657,1000
Model 2: Pure Predictive Gap,CAR_0_1,Sector_Consumer Staples,-0.013899829379937095,0.006782222879494087,-2.0494503980343888,0.040418093412063365,**,0.017616555450529536,0.005672683784274657,1000
Model 2: Pure Predictive Gap,CAR_0_1,Sector_Energy,-0.015658469151168856,0.005314505602109325,-2.9463642196470765,0.0032153354973828412,***,0.017616555450529536,0.005672683784274657,1000
Model 2: Pure Predictive Gap,CAR_0_1,Sector_Financials,-0.012712159031705349,0.005156176747451315,-2.4654234434436204,0.013685141621583309,**,0.017616555450529536,0.005672683784274657,1000
Model 2: Pure Predictive Gap,CAR_0_1,Sector_Health Care,-0.017304700515698632,0.008128285024458748,-2.128948537560779,0.033258518383272824,**,0.017616555450529536,0.005672683784274657,1000
