Model,Variable,Coefficient,Std_Error,p_value,Significance,N_Obs
Non-Linear Gap Effect,const,0.019795255319524363,0.004672162727598079,2.2667688320147196e-05,***,1000
Non-Linear Gap Effect,Z_Guidance_Surprise,0.012551117127430761,0.003824345849969544,0.0010311050130479898,***,1000
Non-Linear Gap Effect,Std_Disagreement_Gap_Win,2.3704695358368015,0.5702070701916919,3.2216030026921214e-05,***,1000
Non-Linear Gap Effect,Std_Disagreement_Gap_Win_Sq,13.291457793802522,11.44042242078953,0.24531760101706046,,1000
Non-Linear Gap Effect,Std_Log_Market_Cap,0.0006697957125780269,0.0019299860079029774,0.7285560646518467,,1000
Non-Linear Gap Effect,Sector_Consumer Discretionary,-0.024185869461869847,0.00697608306091635,0.0005263609774152879,***,1000
Non-Linear Gap Effect,Sector_Consumer Staples,-0.015211750263767712,0.006983902497786598,0.029397396462115324,**,1000
Non-Linear Gap Effect,Sector_Energy,-0.01716482299944808,0.005533540093003316,0.0019224358411144944,***,1000
Non-Linear Gap Effect,Sector_Financials,-0.0165135050777813,0.0053831781016627,0.0021577613652169468,***,1000
Non-Linear Gap Effect,Sector_Health Care,-0.02041394693393238,0.008369013443566062,0.014718605412909709,**,1000
Non-Linear Gap Effect,Sector_Industrials,-0.01290724017792491,0.006510810195753948,0.04743088185547758,**,1000
Non-Linear Gap Effect,Sector_Information Technology,-0.013572565340321998,0.007553702427096271,0.07236584541521252,*,1000
Non-Linear Gap Effect,Sector_Materials,-0.02167725912433038,0.0064658151021147895,0.0008005777270073915,***,1000
Non-Linear Gap Effect,Sector_Real Estate,0.007607914509024347,0.0075155356040624175,0.3113985897331676,,1000
Non-Linear Gap Effect,Sector_Utilities,-0.0022423540074913567,0.005996229948213593,0.708433597502747,,1000
