Model,Dep_Var,Variable,Coefficient,Std_Error,t_stat,p_value,Significance,R_Squared,Adj_R_Squared,Observations
Model: Key Spec with CAR_2_5,CAR_2_5,const,0.0015656172562108013,0.00287088135603731,0.5453437680099151,0.5855171071608688,,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_5,CAR_2_5,Z_Guidance_Surprise,-0.0012329211411707904,0.0021525943500252873,-0.5727605580476911,0.566806828075755,,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_5,CAR_2_5,Std_Disagreement_Gap_Win,-0.09353305433019703,0.3163316073162301,-0.2956803941399823,0.7674741712672755,,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_5,CAR_2_5,Std_Log_Market_Cap,0.0005057058307045905,0.001060445416775514,0.476880584992564,0.6334471578774483,,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_5,CAR_2_5,Sector_Consumer Discretionary,-0.002189421558410524,0.004244671383717571,-0.5158047256164701,0.6059908017091589,,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_5,CAR_2_5,Sector_Consumer Staples,0.0006327769191238619,0.0036428932714068834,0.17370174528321655,0.8620998658400931,,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_5,CAR_2_5,Sector_Energy,-0.006557870291178646,0.004291421179712396,-1.5281348570913618,0.12647905859264094,,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_5,CAR_2_5,Sector_Financials,0.003284377821670452,0.0033840291937748982,0.9705524490486783,0.3317711947511853,,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_5,CAR_2_5,Sector_Health Care,-0.003028574153794116,0.0035592562980410855,-0.8509008343852501,0.39482444132377603,,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_5,CAR_2_5,Sector_Industrials,0.002011619732315743,0.0030693382264916757,0.6553920043588909,0.5122153980810762,,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_5,CAR_2_5,Sector_Information Technology,-0.009466203100487236,0.003705954470175199,-2.554322557567665,0.010639464330432695,**,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_5,CAR_2_5,Sector_Materials,-0.0010833185009479554,0.003972676054758336,-0.27269238317340105,0.7850896902349319,,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_5,CAR_2_5,Sector_Real Estate,-0.00211608932819848,0.005009492141853735,-0.42241593923639387,0.6727214456841428,,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_5,CAR_2_5,Sector_Utilities,-0.008744819380747055,0.003874012838755712,-2.25730263288332,0.023989170965532124,**,0.018930967307287494,0.0059828480940841144,999
Model: Key Spec with CAR_2_10,CAR_2_10,const,-0.0009344138231927693,0.005327977096981047,-0.17537872370401694,0.8607820575082236,,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_10,CAR_2_10,Z_Guidance_Surprise,-0.003833217657542012,0.002541945884124168,-1.5079855481906745,0.13155822581174356,,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_10,CAR_2_10,Std_Disagreement_Gap_Win,-0.36266033362638345,0.3439317587766068,-1.054454333953909,0.2916749575614237,,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_10,CAR_2_10,Std_Log_Market_Cap,0.002368657124705514,0.001485092369955508,1.59495609338864,0.11072205455713309,,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_10,CAR_2_10,Sector_Consumer Discretionary,0.00011062513270004414,0.006568529217314138,0.01684168997961443,0.9865629108120829,,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_10,CAR_2_10,Sector_Consumer Staples,-0.006231365303472115,0.006136640096851942,-1.015436004902547,0.30989803742496325,,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_10,CAR_2_10,Sector_Energy,-0.010628983726964684,0.007454684462102165,-1.4258126928107955,0.15392241609488086,,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_10,CAR_2_10,Sector_Financials,0.007218601143724464,0.0056982878424895475,1.2668017733148946,0.20522617787733555,,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_10,CAR_2_10,Sector_Health Care,-0.008578856830759924,0.005880147076942014,-1.458952764021913,0.1445781091086724,,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_10,CAR_2_10,Sector_Industrials,-0.00017404142164326912,0.005737544242037846,-0.030333782939415476,0.975800854072645,,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_10,CAR_2_10,Sector_Information Technology,-0.011741429306783275,0.0061751244336897175,-1.9014077259278188,0.057248628362983764,*,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_10,CAR_2_10,Sector_Materials,0.0006971448667230575,0.007215593652579688,0.09661642552083254,0.9230310118426305,,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_10,CAR_2_10,Sector_Real Estate,-0.007336647255354855,0.006599916679180136,-1.111627254098341,0.26629844934121716,,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_10,CAR_2_10,Sector_Utilities,-0.011281075956749197,0.006531503756466831,-1.727178973996581,0.08413552576869807,*,0.025133128361367163,0.012266865080857281,999
Model: Key Spec with CAR_2_20,CAR_2_20,const,-0.010192721892613579,0.00866052026612615,-1.1769179655961688,0.23922825062618658,,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_20,CAR_2_20,Z_Guidance_Surprise,-0.005225419110603988,0.0027375346734508457,-1.9088047217378246,0.05628728753573654,*,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_20,CAR_2_20,Std_Disagreement_Gap_Win,-0.1613929944270623,0.392123303224173,-0.41158735810912905,0.6806418991734882,,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_20,CAR_2_20,Std_Log_Market_Cap,0.0010543058152499517,0.0021944121213414406,0.48045023311548984,0.6309072825984084,,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_20,CAR_2_20,Sector_Consumer Discretionary,0.01553485733740387,0.01036718084713232,1.498464970030979,0.13401248729133863,,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_20,CAR_2_20,Sector_Consumer Staples,-0.006970628468296135,0.010171393201679872,-0.6853169796980113,0.49314391938704205,,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_20,CAR_2_20,Sector_Energy,-0.013926877921979285,0.011773234035404019,-1.1829271277627635,0.23683802931215858,,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_20,CAR_2_20,Sector_Financials,0.01625563229680373,0.009078504203285754,1.7905628430419607,0.07336347419693431,*,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_20,CAR_2_20,Sector_Health Care,-0.0057140213334291425,0.009581520725280382,-0.596358500624329,0.5509357576649359,,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_20,CAR_2_20,Sector_Industrials,0.0036688084255643654,0.009210682744562191,0.3983210069557937,0.6903935775629424,,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_20,CAR_2_20,Sector_Information Technology,0.0029534268105580706,0.009614577780367672,0.30718216421201266,0.7587047205633897,,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_20,CAR_2_20,Sector_Materials,0.001307948335720242,0.011946440894150756,0.10948435164155398,0.91281833273536,,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_20,CAR_2_20,Sector_Real Estate,0.0021388699553594142,0.009256636902096752,0.2310633956998931,0.8172655516606353,,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_20,CAR_2_20,Sector_Utilities,-0.0079215845954807,0.009039262173270725,-0.8763530079816669,0.38083815636717844,,0.035699478509448435,0.022972669596375117,999
Model: Key Spec with CAR_2_30,CAR_2_30,const,-0.0035020847170885035,0.010790568731002207,-0.32455052225622927,0.7455212791146788,,0.048102814915370606,0.035539704858416066,999
Model: Key Spec with CAR_2_30,CAR_2_30,Z_Guidance_Surprise,-0.00588109885028109,0.00334427402994968,-1.7585577011969862,0.07865266282469224,*,0.048102814915370606,0.035539704858416066,999
Model: Key Spec with CAR_2_30,CAR_2_30,Std_Disagreement_Gap_Win,-0.13279161286549937,0.4357444806120461,-0.30474651722261736,0.7605592180445635,,0.048102814915370606,0.035539704858416066,999
Model: Key Spec with CAR_2_30,CAR_2_30,Std_Log_Market_Cap,0.003728231413336458,0.0023652585186799626,1.57624690235432,0.11496891324433794,,0.048102814915370606,0.035539704858416066,999
Model: Key Spec with CAR_2_30,CAR_2_30,Sector_Consumer Discretionary,0.0054242509377602855,0.01227649896707684,0.4418402145682626,0.658604835739899,,0.048102814915370606,0.035539704858416066,999
Model: Key Spec with CAR_2_30,CAR_2_30,Sector_Consumer Staples,-0.017763869580772043,0.01232483211646466,-1.4413072253569612,0.14949790694279283,,0.048102814915370606,0.035539704858416066,999
Model: Key Spec with CAR_2_30,CAR_2_30,Sector_Energy,-0.047129635386765456,0.014406748640336052,-3.2713582060293454,0.0010703224648788562,***,0.048102814915370606,0.035539704858416066,999
